     ,Female,AVG,Gender non-conforming,AVG,Male ,AVG,Other,AVG,Transgender,AVG,,     ,Female,Gender non-conforming,Male ,Other,Transgender,
0,24,0,6,0,261,0,7,0,4,0,,0,24,6,261,7,4,302
1,23,23,2,2,220,220,2,2,2,2,,1,23,2,220,2,2,249
2,46,92,5,10,573,1146,3,6,5,10,,2,46,5,573,3,5,632
3,89,267,9,27,1029,3087,6,18,9,27,,3,89,9,1029,6,9,1142
4,104,416,13,52,1169,4676,2,8,4,16,,4,104,13,1169,2,4,1292
5,198,990,17,85,2289,11445,9,45,11,55,,5,198,17,2289,9,11,2524
6,251,1506,15,90,3055,18330,16,96,12,72,,6,251,15,3055,16,12,3349
7,412,2884,39,273,5278,36946,38,266,12,84,,7,412,39,5278,38,12,5779
8,455,3640,28,224,6039,48312,27,216,30,240,,8,455,28,6039,27,30,6579
9,323,2907,26,234,3835,34515,18,162,12,108,,9,323,26,3835,18,12,4214
10,205,2050,17,170,2558,25580,13,130,18,180,,10,205,17,2558,13,18,2811
,2130,14775,177,1167,26306,184257,141,949,119,794,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,6.936619718,,6.593220339,,7.004371626,,6.730496454,,6.672268908,,,,0.079470199,0.864238411,0.023178808,0.013245033,0.01986755
,,,,,,,,,,,,,,0.092369478,0.883534137,0.008032129,0.008032129,0.008032129
,,,,,,,,,,,,,,0.07278481,0.90664557,0.004746835,0.007911392,0.007911392
,,,,,,,,,,,,,,0.07793345,0.901050788,0.00525394,0.007880911,0.007880911
,,,,,,,,,,,,,,0.080495356,0.904798762,0.001547988,0.003095975,0.01006192
,,,,,,,,,,,,,,0.07844691,0.906893819,0.003565769,0.004358162,0.006735341
,,,,,,,,,,,,,,0.074947746,0.912212601,0.004777546,0.003583159,0.004478949
,,,,,,,,,,,,,,0.071292611,0.9133068,0.006575532,0.002076484,0.006748572
,,,,,,,,,,,,,,0.069159447,0.917920657,0.004103967,0.004559964,0.004255966
,,,,,,,,,,,,,,0.076649264,0.910061699,0.004271476,0.002847651,0.00616991
