JavaScript,138,120,312,573,597,1231,1588,2795,3086,1978,1337,,,JavaScript, SQL ,Python, C#  ,Java , C++ , PHP , Go  ,TypeScript,Swift,  C  ,Ruby ,Scala,Rust ,  R  ,,,
 SQL ,118,84,194,382,430,837,1131,1879,2095,1412,920,,0,138,118,97,86,85,90,59,47,42,36,64,42,33,20,23,,,
Python,97,79,259,373,470,883,1158,2028,2176,1405,881,,1,120,84,79,66,78,44,40,40,37,29,22,30,33,5,17,,,
 C#  ,86,66,203,329,398,736,1017,1772,1940,1207,747,,2,312,194,259,203,186,135,83,103,107,92,71,85,69,41,74,,,
Java ,85,78,186,328,363,724,951,1527,1719,1037,697,,3,573,382,373,329,328,256,173,212,198,132,158,126,135,82,105,,,
 C++ ,90,44,135,256,260,495,609,1022,1193,749,525,,4,597,430,470,398,363,260,169,234,230,150,185,143,110,97,112,,,
 PHP ,59,40,83,173,169,401,442,826,863,528,486,,5,1231,837,883,736,724,495,401,445,450,343,307,308,256,167,190,,,
 Go  ,47,40,103,212,234,445,601,997,1103,694,471,,6,1588,1131,1158,1017,951,609,442,601,613,414,392,382,344,296,272,,,
TypeScript,42,37,107,198,230,450,613,1090,1236,762,427,,7,2795,1879,2028,1772,1527,1022,826,997,1090,765,627,616,555,467,433,,,
Swift,36,29,92,132,150,343,414,765,849,532,409,,8,3086,2095,2176,1940,1719,1193,863,1103,1236,849,714,676,566,531,462,,,
  C  ,64,22,71,158,185,307,392,627,714,457,352,,9,1978,1412,1405,1207,1037,749,528,694,762,532,457,426,368,302,285,,,
Ruby ,42,30,85,126,143,308,382,616,676,426,337,,10,1337,920,881,747,697,525,486,471,427,409,352,337,222,211,182,,,
Scala,33,33,69,135,110,256,344,555,566,368,222,,,,,,,,,,,,,,,,,,,,
Rust ,20,5,41,82,97,167,296,467,531,302,211,,,Assembly,Haskell, F#  ,Clojure,Erlang,Perl , Lua ,CoffeeScript,Groovy,VB.NET,Matlab,CommonLisp,Julia, VBA ,Hack ,Dart ,Smalltalk,VisualBasic6
  R  ,23,17,74,105,112,190,272,433,462,285,182,,0,23,25,11,19,12,14,13,6,9,10,7,9,7,7,9,5,4,6
Objective-C,22,9,37,62,74,148,155,287,310,230,180,,1,9,14,9,10,5,8,8,6,8,4,5,3,3,4,5,5,2,3
Elixir,13,8,28,53,57,134,174,297,325,165,148,,2,39,43,42,25,28,18,19,16,18,14,22,14,14,10,5,9,8,2
Assembly,23,9,39,43,55,92,160,213,242,151,148,,3,43,76,81,64,40,29,34,36,38,24,30,20,20,11,7,22,12,7
Haskell,25,14,43,76,76,141,214,399,401,232,141,,4,55,76,86,62,36,33,34,39,27,29,29,25,17,10,11,18,8,6
 F#  ,11,9,42,81,86,154,227,394,428,263,123,,5,92,141,154,106,85,80,67,93,66,51,58,45,35,27,20,44,22,19
Clojure,19,10,25,64,62,106,115,221,252,140,109,,6,160,214,227,115,89,93,85,87,103,63,78,52,44,37,30,41,39,13
Erlang,12,5,28,40,36,85,89,201,195,116,102,,7,213,399,394,221,201,162,149,168,148,125,128,83,62,79,46,63,70,29
Perl ,14,8,18,29,33,80,93,162,187,107,101,,8,242,401,428,252,195,187,181,169,165,127,133,85,83,65,34,86,80,36
 Lua ,13,8,19,34,34,67,85,149,181,110,90,,9,151,232,263,140,116,107,110,109,109,73,79,72,69,47,24,59,56,26
CoffeeScript,6,6,16,36,39,93,87,168,169,109,86,,10,148,141,123,109,102,101,90,86,83,70,59,56,48,40,39,37,37,20
Groovy,9,8,18,38,27,66,103,148,165,109,83,,,,,,,,,,,,,,,,,,,,
VB.NET,10,4,14,24,29,51,63,125,127,73,70,,,,,,,,,,,,,,,,,,,,
Matlab,7,5,22,30,29,58,78,128,133,79,59,,,,,,,,,,,,,,,,,,,,
CommonLisp,9,3,14,20,25,45,52,83,85,72,56,,,,,,,,,,,,,,,,,,,,
Julia,7,3,14,20,17,35,44,62,83,69,48,,,,,,,,,,,,,,,,,,,,
 VBA ,7,4,10,11,10,27,37,79,65,47,40,,,,,,,,,,,,,,,,,,,,
Hack ,9,5,5,7,11,20,30,46,34,24,39,,,,,,,,,,,,,,,,,,,,
Dart ,5,5,9,22,18,44,41,63,86,59,37,,,,,,,,,,,,,,,,,,,,
Smalltalk,4,2,8,12,8,22,39,70,80,56,37,,,,,,,,,,,,,,,,,,,,
VisualBasic6,6,3,2,7,6,19,13,29,36,26,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,
